2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,
Other Private and Publicly Funded Institutions in Ontario,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,
,,,,,,,
CAMPUS D'ALFRED - UNIVERSITY DE GUELPH ,Nutrition Et Salubrite Des Aliments,5,1,20.0%,,,
,Technologie Agricole,*,*,*,,,
CAMPUS D'ALFRED - UNIVERSITY DE GUELPH Total,,7,1,14.3%,,,
,,,,,,,
CANADA CHRISTIAN COLLEGE,Bachelor Christian Counselling,5,3,60.0%,,,
,Bachelor Of Sacred Music,*,*,*,,,
,Bachelor Of Theology,*,*,*,,,
,Master Of Divinity,*,*,*,,,
CANADA CHRISTIAN COLLEGE Total,,10,6,60.0%,,,
,, , , ,,,
CANADIAN COLLEGE OF NATUROPATHIC MEDICINE,Naturopathic Medicine,162,108,66.7%,,,
,Naturopathic Medicine Bridge ,*,*,*,,,
CANADIAN COLLEGE OF NATUROPATHIC MEDICINE Total,,164,109,66.5%,,,
,, ,,,,,
CANADIAN MEMORIAL CHIROPRACTIC COLLEGE,Chiropractic Degree,109,54,49.5%,,,
CANADIAN MEMORIAL CHIROPRACTIC COLLEGE Total,,109,54,49.5%,,,
,, ,,,,,
Notes  (1) Number of students at this institution who were issued an Ontario Student Loan (OSL) and/or a Canada Student Loan (CSL) in 2012/13 ,,,,,,,
                and did not receive OSAP funding in 2013/14.,,,,,,,
           (2) Number of borrowers as defined by (1) who received repayment assistance for one or more six month terms as of July 2015.  ,,,,,,,
           (3) Percentage of borrowers who received repayment assistance for 1 or more terms as of July 2015 (2)/(1). ,,,,,,,
"             *   Number of borrowers was less than 5, counts have not been shown but are included in institution totals. ",,,,,,,
,, ,,,,,
CHARLES STURT UNIVERSITY - BURLINGTON,Bachelor Early Childhood Studies,5,2,40.0%,,,
,Bachelor Of Primary Education Studies,58,12,20.7%,,,
CHARLES STURT UNIVERSITY - BURLINGTON Total,,63,14,22.2%,,,
,,,,,,,
COVENANT CANADIAN REFORMED TEACHERS' COLLEGE,Diploma In Teaching,*,*,*,,,
COVENANT CANADIAN REFORMED TEACHERS' COLLEGE Total,,*,*,*,,,
,,,,,,,
,,,,,,,
EASTERN ONTARIO SCHOOL OF XRAY TECHNOLOGY,X-Ray Technology ,10,1,10.0%,,,
EASTERN ONTARIO SCHOOL OF XRAY TECHNOLOGY Total,,10,1,10.0%,,,
,, ,,,,,
EMMANUEL BIBLE COLLEGE,Bachelor Of Theology,11,5,45.5%,,,
,Bachelor Religious Education,9,5,55.6%,,,
,Diploma In Biblical Studies ,*,*,*,,,
,Expedition Plus,*,*,*,,,
,Mountain Top Certificate,9,1,11.1%,,,
EMMANUEL BIBLE COLLEGE Total,,32,12,37.5%,,,
,, ,,,,,
GREAT LAKES BIBLE COLLEGE,Bachelor Of Theology,*,*,*,,,
GREAT LAKES BIBLE COLLEGE Total,,*,*,*,,,
,,,,,,,
HERITAGE BAPTIST COLLEGE/HERITAGE THEOLOGICAL SEMINARY,Bachelor Of Church Music,*,*,*,,,
,Bachelor Of Religious Education,*,*,*,,,
,Bachelor Of Theology,6,1,16.7%,,,
,Master Of Divinity,*,*,*,,,
,One Year Certificate,10,4,40.0%,,,
,Two Year Certificate,*,*,*,,,
HERITAGE BAPTIST COLLEGE/HERITAGE THEOLOGICAL SEMINARY Total,,25,10,40.0%,,,
,, ,,,,,
KAWARTHA LAKES BIBLE COLLEGE,Biblical Studies,*,*,*,,,
KAWARTHA LAKES BIBLE COLLEGE Total,,*,*,*,,,
,, ,,,,,
KEMPTVILLE CAMPUS - UNIVERSITY OF GUELPH ,Agriculture And Heavy Duty Equipment Technician,11,2,18.2%,,,
,Agriculture ,14,0,0.0%,,,
,"Agriculture, Equine Option",8,1,12.5%,,,
,Diesel Equipment Mechanic,*,*,*,,,
,Food Nutrition And Risk Management,*,*,*,,,
,Horse Industry Technician,10,3,30.0%,,,
,Horticulture Technician Co-Op  ,*,*,*,,,
,Industrial Welding And Fabrication,9,3,33.3%,,,
KEMPTVILLE CAMPUS - UNIVERSITY OF GUELPH - Total,,58,11,19.0%,,,
,,,,,,,
MASTER'S COLLEGE AND SEMINARY,Bachelor Of Theology,19,9,47.4%,,,
,Bachelor Religious Education,*,*,*,,,
,Ministerial Diploma,8,2,25.0%,,,
MASTER'S COLLEGE AND SEMINARY Total,,29,12,41.4%,,,
,, ,,,,,
MICHENER INSTITUTE FOR APPLIED HEALTH SCIENCE,Cardiovascular Perfusion,*,*,*,,,
,Chiropody,20,5,25.0%,,,
,Diagnostic Cytology,*,*,*,,,
,Genetics Technology,7,1,14.3%,,,
,Med Laboratory Sciences ,33,7,21.2%,,,
,Respiratory Therapy,28,4,14.3%,,,
,Ultrasound,12,0,0.0%,,,
MICHENER INSTITUTE FOR APPLIED HEALTH SCIENCE Total,,106,20,18.9%,,,
,, ,,,,,
NAV CANADA,Air Traffic Ifr Basic,*,*,*,,,
NAV CANADA Total,,*,*,*,,,
,,,,,,,
NIAGARA PARKS COMMISSION SCHOOL OF HORTICULTURE,Ornamental Horticulture,*,*,*,,,
NIAGARA PARKS COMMISSION SCHOOL OF HORTICULTURE Total,,*,*,*,,,
,,,,,,,
NIAGARA UNIVERSITY,Bachelor Of Professional Studies,16,6,37.5%,,,
NIAGARA UNIVERSITY Total,,16,6,37.5%,,,
,,,,,,,
,,,,,,,
REDEEMER UNIVERSITY COLLEGE,Bachelor Of Arts,*,*,*,,,
,Bachelor Of Arts: Art Major,*,*,*,,,
,Bachelor Of Arts Bachelor Of Education (Concurrent),26,5,19.2%,,,
,Bachelor Of Arts: Business Co-Op,6,1,16.7%,,,
,Bachelor Of Arts: Business Major,12,0,0.0%,,,
,Bachelor Of Arts: English Major,6,2,33.3%,,,
,Bachelor Of Arts: History Major,7,1,14.3%,,,
,Bachelor Of Arts: Humanities Group Major,*,*,*,,,
,Bachelor Of Arts: Kinesiology Major,*,*,*,,,
,Bachelor Of Arts: Music Major,5,1,20.0%,,,
,Bachelor Of Arts: Philosophy Major,*,*,*,,,
,Bachelor Of Arts: Physical Education Major,*,*,*,,,
,Bachelor Of Arts: Political Science Major,*,*,*,,,
,Bachelor Of Arts: Psychology Major,24,6,25.0%,,,
,Bachelor Of Arts: Religion And Theology Major,7,1,14.3%,,,
,Bachelor Of Arts: Social Studies Group,*,*,*,,,
,Bachelor Of Arts: Sociology Major,*,*,*,,,
,Bachelor Of Arts: Theatre Arts Major,*,*,*,,,
,Bachelor Of Arts: Youth Ministry Major,*,*,*,,,
,Bachelor Of Arts: Sociology Social Work,12,3,25.0%,,,
,Bachelor Of Education,10,4,40.0%,,,
,Bachelor Of Science,*,*,*,,,
,Bachelor Of Science: Biology Major,5,1,20.0%,,,
,Bachelor Of Science: Chemistry Major,*,*,*,,,
,Bachelor Of Science: Computer Science,*,*,*,,,
,Bachelor Of Science: Environmental Study Major,*,*,*,,,
,Bachelor Of Science: Health Sciences Major,*,*,*,,,
,Bachelor Of Science: Kinesiology ,8,2,25.0%,,,
REDEEMER UNIVERSITY COLLEGE Total,,153,36,23.5%,,,
,, ,,,,,
RIDGETOWN CAMPUS - UNIVERSITY OF GUELPH,Agriculture,47,3,6.4%,,,
,Environmental Management,7,3,42.9%,,,
,Horticulture,6,1,16.7%,,,
,Performance Horse Handler Certificate,18,5,27.8%,,,
,Veterinary Office Administration,30,8,26.7%,,,
,Veterinary Technology,28,7,25.0%,,,
,Veterinary Technology/Alternative ,11,5,45.5%,,,
 RIDGETOWN CAMPUS - UNIVERSITY OF GUELPH Total,,147,32,21.8%,,,
,, ,,,,,
TYNDALE UNIVERSITY COLLEGE AND SEMINARY,Bachelor Of Biblical Studies Theology,14,4,28.6%,,,
,Bachelor Of Business Studies: Business Administration,8,5,62.5%,,,
,Bachelor In Human Services: Modular Track,*,*,*,,,
,Bachelor In Humanities: Major Philosophy,*,*,*,,,
,Bachelor In Humanities: Major English,5,2,40.0%,,,
,Bachelor In Humanities: Major History,*,*,*,,,
,Bachelor In Social Science: Major Psychology,16,6,37.5%,,,
,Bachelor In Social Science: Major Early Childhood Education,*,*,*,,,
,Bachelor In Social Science: Major Social Service Worker,7,4,57.1%,,,
,Bachelor In Religious Education Degree Completion Program,5,0,0.0%,,,
,Bachelor Of Education,25,8,32.0%,,,
,Bachelor Religious Education,*,*,*,,,
,Doctor Of Ministry,6,2,33.3%,,,
,Master Of Divinity,26,17,65.4%,,,
,Master Of Divinity: In Ministry,*,*,*,,,
,Master Theological Studies,7,3,42.9%,,,
,Transitions,*,*,*,,,
TYNDALE UNIVERSITY COLLEGE AND SEMINARY Total,,137,57,41.6%,,,
,, ,,,,,
Other Private and Publicly Funded Institutions in Ontario  Total,,"1,074",381,35.5%,,,