Institution Name,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
ALGOMA UNIVERSITY,156,59,37.8%,
BROCK UNIVERSITY,2091,615,29.4%,
CARLETON UNIVERSITY,2423,794,32.8%,
LAKEHEAD UNIVERSITY,1273,375,29.5%,
LAURENTIAN UNIVERSITY,755,246,32.6%,
MCMASTER UNIVERSITY,3214,824,25.6%,
NIPISSING UNIVERSITY,928,257,27.7%,
NORTHERN ONTARIO SCHOOL OF MEDICINE,55,2,3.6%,
ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY,624,271,43.4%,
QUEEN'S UNIVERSITY,1823,361,19.8%,
ROYAL MILITARY COLLEGE OF CANADA,8,1,12.5%,
RYERSON UNIVERSITY,4125,1442,35%,
TRENT UNIVERSITY,1183,458,38.7%,
UNIVERSITY OF GUELPH ,2877,819,28.5%,
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY,1340,459,34.3%,
UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA,3557,1112,31.3%,
UNIVERSITY OF TORONTO,8354,2522,30.2%,
UNIVERSITY OF WATERLOO,3242,709,21.9%,
UNIVERSITY OF WINDSOR,1890,723,38.3%,
WESTERN UNIVERSITY,3847,1047,27.2%,
WILFRID LAURIER UNIVERSITY,1878,494,26.3%,
YORK UNIVERSITY,6980,2818,40.4%,
TOTAL ONTARIO UNIVERSITIES,52623,16408,31.2%,