2013 OSAP Repayment Assistance Participation Rates ,,,,,,
Postsecondary Sectors in Ontario,,,,,,
,,,,,,
Institution Type,# of Borrowers 2010-11 (1),# of Borrowers who received Repayment Assistance (2),2013 Repayment Assistance Participation Rate (3),,,
,,,,,,
Universities,"49,748","14,416",29.0%,,,
Colleges of Applied Arts and Technology,"43,211","13,786",31.9%,,, 
Private Career Colleges,"11,655","4,951",42.5%,,,
Other Private and Public Institutions,"1,000",302,30.2%,,,
ONTARIO TOTAL,"105,614","33,455",31.7%,, ,
,,,,,,
Notes:, ,,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2010-11 and did not receive loans or grants through the Ontario Student Assistance Program in 2011-12. ,,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their Canada-Ontario Integrated Student Loan between March 2011 and July 2013. ,,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,,